yearBuilt,longitude,latitude,price,bedrooms,bathrooms,area
-1.0,-74.010611,40.718826,"$7,195/mo",2.0,1.0,
-1.0,-73.998385,40.717901,"$2,595/mo",1.0,1.0,500.0
-1.0,-74.008048,40.72009,"$7,500/mo",1.0,1.0,1400.0
2013.0,-74.011161,40.721835,"$8,990/mo",1.0,1.0,1385.0
-1.0,-73.995642,40.720315,"$3,450/mo",2.0,1.0,
-1.0,-74.003494,40.726823,"$3,795/mo",1.0,1.0,
-1.0,-73.998096,40.71742,"$3,850/mo",3.0,1.0,
-1.0,-74.003766,40.717721,"$6,995/mo",1.0,2.0,1250.0
2003.0,-74.008795,40.725516,"$9,995/mo",2.0,2.0,1279.0
-1.0,-74.003338,40.723518,"$6,800/mo",2.0,2.0,1800.0
-1.0,-73.99608,40.71852,"$2,025/mo",1.0,1.0,
2005.0,-74.001728,40.719927,"$6,500/mo",0.0,1.0,1813.0
2009.0,-74.003781,40.721637,"$8,800/mo",2.0,2.0,1244.0
2004.0,-74.008422,40.719762,"$30,000/mo",3.0,3.0,2704.0
-1.0,-74.005685,40.724521,"$3,200/mo",1.0,1.0,
1891.0,-74.008858,40.720312,"$13,280/mo",2.0,2.0,1400.0
-1.0,-74.006084,40.71901,"$27,500/mo",3.0,3.5,2800.0
-1.0,-74.010783,40.71627,"$3,350/mo",0.0,1.0,520.0
1900.0,-74.004306,40.717131,"$15,700/mo",5.0,3.0,
-1.0,-74.00484,40.726124,"$4,200/mo",2.0,1.0,
1900.0,-74.00984,40.723207,"$13,000/mo",3.0,2.0,1300.0
-1.0,-74.001763,40.719945,"$7,000/mo",1.0,1.0,1100.0
-1.0,-73.998996,40.715237,"$2,500/mo",1.0,1.0,
-1.0,-73.999263,40.720877,"$7,995/mo",4.0,1.0,
-1.0,-73.998886,40.719601,"$10,500/mo",0.0,2.5,1850.0
-1.0,-74.00362,40.735638,"$2,950/mo",0.0,1.0,
1880.0,-74.002298,40.732315,"$3,200/mo",2.0,1.5,
-1.0,-74.004798,40.732137,"$3,595/mo",1.0,1.0,
-1.0,-74.003222,40.732028,"$4,195/mo",1.0,1.0,
